,"Tank 1","Tank 2","Tank 3","Tank 4","Tank 5","Tank 6","Tank 7","Tank 8","Tank 9","Tank 10","Tank 11","Tank 12"
"Aulacoseira sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydomonas sp.",14,0,47,565,94,1167,565,188,424,47,47,0
"Chlorella vulgaris",297,81996,29547,60413,32845,9378,111401,495,42506,21253,15574,102070
"Chloroidium ellipsoideum",141,0,659,282,0,0,0,106,0,507,0,0
"Chroococcus sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysamoeba sp.",24,0,283,0,0,0,0,12,236,0,0,0
"Chrysoccoccus punctiformis",0,0,0,0,0,0,0,0,0,0,0,0
"Chrysochromulina parva",0,0,47,660,424,35,1414,188,990,377,94,1555
"Closterium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Cosmarium bioculatum",0,0,0,0,0,0,0,0,0,0,0,0
"Cryptomonas erosa",0,0,0,0,0,0,0,0,0,0,0,0
"Didymocystis inermis",0,0,0,0,0,0,0,0,0,0,0,0
"Golenkiniopsis sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Gymnodinium sp.",0,0,47,0,0,0,0,0,0,0,0,0
"Haematococcus pluvialis",90,94,613,0,0,0,0,12,0,0,0,0
"Kirchneriella obesa",38,471,660,377,236,94,565,59,565,47,141,283
"Koliella longiseta",0,0,47,660,94,1437,11875,3664,518,342,14019,12535
"Lagerheimia genevensis",19,0,235,0,0,0,0,12,0,0,0,0
"Mallomonas sp.",0,0,0,0,94,12,0,24,0,0,0,47
"Monoraphidium sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Oocystis sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Pantocsekiella ocellata",0,0,0,0,0,0,0,0,0,0,0,0
"Peridinium sp.",19,94,141,0,0,0,0,0,0,0,0,141
"Rhodomonas minuta",0,0,0,0,0,0,0,0,0,0,0,0
"Scenedesmus sp.",28,0,752,188,188,328,470,554,0,2206,0,0
"Schroederia sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Staurastrum sp.",0,0,0,0,0,0,0,0,0,0,0,0
"Trachelomonas volvocina",0,0,0,0,0,0,0,0,0,0,0,0
"Treubaria schmidlei",0,0,0,0,0,0,0,0,0,0,0,0
